Observation_Day,beta_i_symptomatic,beta_e_asymptomatic,phi_e_prop_asymptomatic,phi_r_recovery,phi_d_mortality,v_vaccination_rate
1.0,1.0041193801254799e-7,0.02809721658086893,1.0015869636625402e-7,0.012645531333606384,4.9771405042910536e-5,1.000160920719328e-7
2.0,1.004204862815218e-7,0.028018889531690475,1.001628151819301e-7,0.01269214032116949,5.0092675836634324e-5,1.0001658376629725e-7
3.0,1.0042934735101426e-7,0.027980616142555023,1.0016687728348238e-7,0.012736854977140168,5.038520236612375e-5,1.0001705105781535e-7
4.0,1.0043837744508598e-7,0.02798092193549955,1.0017081162883528e-7,0.01277892399010514,5.064512332395955e-5,1.0001748514043318e-7
5.0,1.0044742161945176e-7,0.02801849870517377,1.0017454220867577e-7,0.012817595019974194,5.0868598234171146e-5,1.0001787683307522e-7
6.0,1.0045631497352077e-7,0.02809220114867707,1.0017798934308017e-7,0.0128521225568776,5.105185953095447e-5,1.0001821680735518e-7
7.0,1.00464884570352e-7,0.028201043256319745,1.0018107135563856e-7,0.0128817762021826,5.1191268139661284e-5,1.0001849585781971e-7
8.0,1.0047295206913259e-7,0.02834419447242449,1.0018370659812326e-7,0.012905849232739785,5.1283371426761957e-5,1.0001870520660123e-7
9.0,1.0048033703431548e-7,0.028520975597578168,1.0018581577050877e-7,0.012923667291155499,5.1324962210131585e-5,1.000188368304741e-7
10.0,1.0048686084039572e-7,0.028730854373437746,1.001873244522473e-7,0.012934597031196907,5.1313137383252725e-5,1.0001888379475343e-7
11.0,1.0049235104478058e-7,0.028973440668094094,1.0018816573387207e-7,0.01293805453930628,5.124535461687816e-5,1.0001884057567638e-7
12.0,1.0049664605735283e-7,0.02924848116378793,1.0018828281624501e-7,0.012933513351261644,5.111948556729188e-5,1.0001870335128464e-7
13.0,1.0049959989852065e-7,0.029555853439007147,1.00187631431011e-7,0.012920511887536004,5.09338640465318e-5,1.0001847024073e-7
14.0,1.0050108681202084e-7,0.029895559333120013,1.0018618193250964e-7,0.012898660141761718,5.068732769842178e-5,1.0001814147357347e-7
15.0,1.0050100548804463e-7,0.030267717483126753,1.0018392092008875e-7,0.012867645473410039,5.037925187297214e-5,1.0001771947407638e-7
16.0,1.0049928265874337e-7,0.03067255492823772,1.0018085227083419e-7,0.012827237377543238,5.0009574595187824e-5,1.0001720885051693e-7
17.0,1.0049587585262e-7,0.031110397688283112,1.0017699749517508e-7,0.012777291130246438,4.9578811774029695e-5,1.000166162858239e-7
18.0,1.0049077513570341e-7,0.031581660236050434,1.001723953692859e-7,0.012717750236902806,4.908806208226161e-5,1.0001595033274251e-7
19.0,1.0048400372293984e-7,0.0320868338013045,1.0016710084517463e-7,0.012648647640613377,4.853900124565907e-5,1.0001522112366283e-7
20.0,1.0047561740860387e-7,0.032626473465476015,1.0016118328754575e-7,0.01257010567857931,4.7933865797241514e-5,1.000144400114497e-7
21.0,1.0046570283434639e-7,0.033201184030990954,1.0015472413143393e-7,0.012482334804091227,4.727542666559537e-5,1.0001361916247715e-7
22.0,1.0045437468191302e-7,0.03381160467828237,1.0014781409199907e-7,0.012385631119978183,4.656695326349056e-5,1.0001277112610533e-7
23.0,1.0044177193892129e-7,0.03445839245707989,1.0014055008436826e-7,0.012280372795222877,4.5812169012693165e-5,1.0001190840576814e-7
24.0,1.0042805343552614e-7,0.03514220469694424,1.0013303202484101e-7,0.012167015459382105,4.5015199473692143e-5,1.000110430556399e-7
25.0,1.004133928837729e-7,0.035863680465368794,1.0012535968442927e-7,0.012046086689057062,4.418051443750058e-5,1.0001018632373043e-7
26.0,1.0039797366799717e-7,0.03662342124992418,1.0011762975234046e-7,0.011918179716669563,4.331286547538291e-5,1.00009348357636e-7
27.0,1.0038198363355712e-7,0.03742197109323503,1.0010993324267727e-7,0.011783946504050182,4.241722052807679e-5,1.0000853798360155e-7
28.0,1.003656101038687e-7,0.03825979646477849,1.00102353345332e-7,0.011644090331761432,4.14986971477363e-5,1.0000776256363551e-7
29.0,1.0034903532487863e-7,0.03913726620966665,1.0009496378533064e-7,0.011499358059657178,4.0562495984417906e-5,1.0000702792975124e-7
30.0,1.0033243249540687e-7,0.040054631969037024,1.0008782771734893e-7,0.01135053221498361,3.961383603741952e-5,1.0000633838948184e-7
31.0,1.0031596249533442e-7,0.04101200951605694,1.0008099714705607e-7,0.0111984230614911,3.865789307494743e-5,1.0000569679298398e-7
32.0,1.0029977137552759e-7,0.04200936149189941,1.0007451284096273e-7,0.01104386079675809,3.769974246977574e-5,1.0000510464950205e-7
33.0,1.0028398862741081e-7,0.04304648205298697,1.000684046633304e-7,0.01088768801551316,3.6744307511462596e-5,1.000045622797366e-7
34.0,1.0026872620926823e-7,0.04412298394983941,1.000626922632965e-7,0.010730752564550358,3.579631404591999e-5,1.0000406899064255e-7
35.0,1.0025407827284551e-7,0.04523828854474179,1.0005738602768371e-7,0.010573900900310438,3.486025206988057e-5,1.0000362326016047e-7
36.0,1.0024012150887969e-7,0.04639161923654235,1.000524882142866e-7,0.01041797204385812,3.394034468037454e-5,1.0000322292108956e-7
37.0,1.0022691601416889e-7,0.047581998693721386,1.0004799418555027e-7,0.010263792210385985,3.304052455665608e-5,1.0000286533545502e-7
38.0,1.0021450657531126e-7,0.04880825020042736,1.0004389367198188e-7,0.010112170172101382,3.2164417942321416e-5,1.0000254755303665e-7
39.0,1.0020292426432738e-7,0.05006900329544602,1.0004017200679662e-7,0.0099638933949917,3.1315335905650254e-5,1.0000226644998196e-7
40.0,1.0019218824769276e-7,0.051362703734164884,1.0003681128672744e-7,0.00981972497206578,3.049627249212471e-5,1.0000201884545902e-7
41.0,1.0018230772133571e-7,0.05268762763393627,1.0003379142737214e-7,0.009680401358740131,2.970990924859728e-5,1.000018015960017e-7
42.0,1.0017328389838425e-7,0.05404189948141013,1.0003109109395516e-7,0.009546630900497921,2.8958625496002432e-5,1.000016116685157e-7
43.0,1.0016511199249401e-7,0.055423513495860346,1.0002868849929684e-7,0.0094190931291331,2.824451365743632e-5,1.0000144619384184e-7
44.0,1.0015778315630627e-7,0.05683035766595111,1.0002656206976014e-7,0.00929843879203261,2.756939890998365e-5,1.0000130250334771e-7
45.0,1.0015128635109987e-7,0.0582602396201371,1.0002469098688515e-7,0.00918529056917812,2.693486241960717e-5,1.000011781512929e-7
46.0,1.0014561013944832e-7,0.059710913363888986,1.000230556174258e-7,0.009080244424900241,2.6342267435489715e-5,1.0000107092575164e-7
47.0,1.001407444074021e-7,0.061180105830052865,1.0002163784780698e-7,0.008983871535837629,2.579278755942601e-5,1.0000097885074501e-7
