Observation_Day,beta_i_symptomatic,beta_e_asymptomatic,phi_e_prop_asymptomatic,phi_r_recovery,phi_d_mortality,v_vaccination_rate
1.0,2.3048813649335556e-6,0.0750052139909331,0.16306046959681555,0.040721488733549444,0.002995270012978183,0.00259230274900744
2.0,2.3082935394855785e-6,0.07554518356061812,0.16306340240724002,0.04096943527213295,0.002980023591208723,0.0025913918028772137
3.0,2.3158163337814897e-6,0.07609795581979342,0.16306455916834045,0.041214933478193425,0.002964110873630833,0.002590195994083645
4.0,2.327358255014591e-6,0.0766628997549475,0.1630642810456784,0.04145816111333898,0.0029475665364275547,0.0025887354849671368
5.0,2.3428541376125344e-6,0.07723940367746635,0.16306290149523747,0.041699301422247946,0.0029304236239127415,0.0025870298281234732
6.0,2.36226363157695e-6,0.07782687640565455,0.16306074578117438,0.04193854247552816,0.0029127135321858504,0.0025850979323759765
7.0,2.3855700164711233e-6,0.07842474848218949,0.16305813053127205,0.042176076534475665,0.002894466003021382,0.0025829580332236294
8.0,2.412779312620159e-6,0.07903247342439279,0.16305536332498727,0.04241209943388965,0.0028757091269542043,0.0025806276672848596
9.0,2.443919666768699e-6,0.07964952900345877,0.16305274230979114,0.04264680997954089,0.0028564693546160617,0.002578123650306896
10.0,2.4790409945064378e-6,0.08027541854775995,0.16305055584219527,0.042880409357284065,0.0028367715154676413,0.0025754620583567415
11.0,2.518214866343377e-6,0.0809096722645305,0.16304908215045044,0.04311310055113392,0.002816638843154085,0.002572658211851415
12.0,2.5615346285029425e-6,0.08155184857358938,0.1630485890164008,0.04334508776789576,0.0027960930067894665,0.002569726662122504
13.0,2.6091157533967253e-6,0.08220153544627799,0.1630493334743914,0.04357657586614271,0.0027751541475476,0.0025666811802432642
14.0,2.66109641843794e-6,0.08285835174243125,0.16305156152546355,0.043807769787472355,0.002753840920002675,0.002563534747875996
15.0,2.7176383154204297e-6,0.08352194853794372,0.1630555078653471,0.04403887398805383,0.002732170537724245,0.002560299549923494
16.0,2.7789276962122604e-6,0.08419201043531191,0.16306139562497987,0.04427009186849764,0.002710158822687016,0.0025569869687915602
17.0,2.8451766640589246e-6,0.08486825684940315,0.16306943612246017,0.04450162520004962,0.0026878202581076126,0.002553607580090337
18.0,2.9166247234319624e-6,0.0855504432605873,0.16307982862548134,0.044733673545035296,0.0026651680443682507,0.002550171149621035
19.0,2.9935406051652003e-6,0.08623836242725207,0.16309276012341697,0.04496643366936365,0.002642214157731485,0.0025466866315119584
20.0,3.076224387665193e-6,0.08693184554957266,0.16310840510832322,0.04520009894475217,0.0026189694115914324,0.002543162167384093
