Metric,Cases_C,Deaths_D,Vaccination_Vacc,Incidence_Cases,Incidence_Deaths
n,995,995,491,994,994
ME_bias,-0.005021465563400121,5.663793467226778e-6,-0.009837211802336541,-3.49483579146891e-5,-6.086867348380359e-8
MAE,0.006587188997125677,2.951938601712106e-5,0.02395680443588154,0.0001787533164203915,1.5040331087230065e-6
MedAE,0.0007284004754900125,1.648418286224031e-5,0.022835715522433464,3.897798013280905e-5,7.907480154037858e-7
MSE,0.00013968649618096868,1.7736014396442461e-9,0.0008485030011782393,6.145939842277347e-7,2.3258049539212582e-11
RMSE,0.01181890418697811,4.211414773736073e-5,0.029129074842470355,0.0007839604481271582,4.822660006595176e-6
R2,0.9871939721190447,0.9974799865572959,0.978671834421286,0.2575305570948435,0.20985291027671715
Pearson_r,0.9965476418585317,0.9988437601525687,0.9908735050460137,0.5161285123736612,0.47653916594943807
Spearman_rho,0.999999966499974,0.9999981544514431,0.9595276449460118,0.7103665054182065,0.6105067354342542
MAPE,3.1915598969809547,2.029241221097201,4.27877375345406,213.51038941391027,179.49891189467317
sMAPE,3.279601644006574,2.037273704886996,4.326137379945486,56.37623135729374,83.1961988734087
WAPE,4.519182314360831,1.8990898031389,3.565812852450087,57.75497671347362,58.52809455527805
NRMSE_range,3.8417237510170748,1.6487265087742422,3.8519165112456357,3.604386254411325,3.479326760064073
NRMSE_mean,8.108433324172557,2.709356776239177,4.335671300872279,253.29665671424303,187.6694729902675
logMSE,0.0025194446853174864,0.0007761269933329369,0.003679236789590226,0.7061530506268764,1.2266856875111698
RMSLE,0.00927362583790953,4.202709849456989e-5,0.01756920509153515,0.0007771404283386699,4.8223883612340515e-6
Willmott_d,0.9965814554845772,0.9993769022546246,0.9944488585205794,0.6301534402550099,0.6064788536105346
KGE,0.9277047311904495,0.9877651200365426,0.9600148287074491,0.3634107121218263,0.34521121548512246
KGE_r,0.9965476418585317,0.9988437601525687,0.9908735050460137,0.5161285123736612,0.47653916594943807
KGE_alpha,0.9365344254883506,1.0116223347658706,0.9639287983649569,0.60205038682905,0.6073474087297491
KGE_beta,0.965549920647196,1.003643724979394,0.9853579569132733,0.8870822853551958,0.976313503629324
Theil_U2,12.304458552101337,7.0187761725431015,7.1802281321346975,0.7084722062062737,0.7290518850345973
DurbinWatson,0.004395387661782985,0.013100279519232372,0.014570290497558789,1.9915792589504686,1.881511840372064
ACF_lag1,0.9933307871956898,0.9920566589189856,0.9883139869491373,0.0022076264635126092,0.05857939389445106
LjungBox_Q,9295.226441882383,9053.296998315276,4179.087304441773,8.767932043711948,41.072582471042814
Resid_skew,-1.4042286631485394,-0.7065862459495885,-0.48283344625552127,-18.679792421537947,-20.164884509873325
Resid_kurt,0.7609860375192317,1.3861631528322267,-0.10673550768585693,457.0277858429466,535.9513085758015
JarqueBera,351.00831839234604,162.45467725998571,19.31072345014206,8.708688116603348e6,1.196404473586251e7
