Observation_Day,C_obs,C_pred,C_resid,D_obs,D_pred,D_resid
1.0,0.0005641170292933032,0.0005641170292933032,0.0,1.605882449048996e-5,1.605882449048996e-5,0.0
2.0,0.0005946592872641402,0.0005982114329479097,3.5521456837695007e-6,1.7685034565476286e-5,1.775800021007569e-5,7.296564459940316e-8
3.0,0.0006235753351599907,0.0006325214797128421,8.94614455285137e-6,1.98448448213175e-5,1.9475083639476298e-5,-3.697611818412002e-7
4.0,0.0006696174079080411,0.0006670550517401284,-2.5623561679126612e-6,2.2182521804110343e-5,2.120851737390777e-5,-9.74004430202571e-7
5.0,0.0007006678565273112,0.000701819680026791,1.1518234994797785e-6,2.4266103462686573e-5,2.29568159242366e-5,-1.3092875384499733e-6
6.0,0.0007443214332277254,0.0007368225499789567,-7.498883248768708e-6,2.599395166735954e-5,2.471856329532388e-5,-1.2753883720356595e-6
7.0,0.0007785226638672816,0.0007720705100862175,-6.452153781064053e-6,2.863654303921232e-5,2.6492409014430435e-5,-2.1441340247818852e-6
8.0,0.0007954200029276863,0.0008076231433643556,1.2203140436669257e-5,2.9500467141548807e-5,2.8277115548518145e-5,-1.2233515930306618e-6
9.0,0.0008527184985385326,0.0008435487560858301,-9.169742452702569e-6,3.0516848438415258e-5,3.007171151539959e-5,-4.4513692301566713e-7
10.0,0.0009083907840743926,0.0008798673786240627,-2.852340545032991e-5,3.275288729152146e-5,3.187534809439691e-5,-8.775391971245497e-7
11.0,0.000959082801255607,0.0009166000522681138,-4.2482748987493165e-5,3.595448837665078e-5,3.36872488087861e-5,-2.267239567864682e-6
12.0,0.001006039617170837,0.0009537689425489041,-5.2270674621932955e-5,3.8241346294600304e-5,3.5506708461291275e-5,-2.7346378333090285e-6
13.0,0.0010535554427993437,0.0009913975978429461,-6.215784495639757e-5,4.0324927953176534e-5,3.733309065553934e-5,-2.991837297637195e-6
14.0,0.0010781010511186687,0.0010295096827022763,-4.85913684163924e-5,4.223064288480113e-5,3.916582489704214e-5,-3.0648179877589923e-6
15.0,0.0011112096718640934,0.001068124389318353,-4.3085282545740275e-5,4.3043747922294296e-5,4.100439869789467e-5,-2.0393492243996275e-6
16.0,0.001151305914025475,0.0011072595184597328,-4.404639556574211e-5,4.406012921916075e-5,4.28483391681443e-5,-1.211790051016449e-6
17.0,0.0011898013556442919,0.0011469326623031826,-4.2868693341109295e-5,4.647403479921858e-5,4.46972073075202e-5,-1.7768274916983774e-6
18.0,0.0012506571857941707,0.0011871612044049185,-6.34959813892522e-5,4.858302599021647e-5,4.655059800440758e-5,-2.0324279858088855e-6
19.0,0.0012884665700376029,0.0012279621960615147,-6.050437397608823e-5,5.084447437574432e-5,4.8408135644977084e-5,-2.4363387307672394e-6
20.0,0.0013350676524989298,0.0012693521223804557,-6.571553011847412e-5,5.328378948822381e-5,5.0269464953223535e-5,-3.014324535000275e-6
21.0,0.0013690656068791125,0.001311347134160133,-5.7718472718979634e-5,5.4859180498366814e-5,5.2134250728470686e-5,-2.7249297698961277e-6
22.0,0.0014038004376995235,0.001353963312289195,-4.983712541032845e-5,5.592638086007659e-5,5.4002171696146344e-5,-1.924209163930246e-6
23.0,0.0014383828113254046,0.001397216710459602,-4.116610086580272e-5,5.706980981905135e-5,5.5872918611920265e-5,-1.196891207131083e-6
24.0,0.001504168090765086,0.0014411233718127278,-6.30447189523581e-5,5.994108698269908e-5,5.774619266826176e-5,-2.1948943144373175e-6
25.0,0.0015519126021853874,0.0014856993858655544,-6.6213216319833e-5,6.207548770611863e-5,5.9621700801798446e-5,-2.453786904320186e-6
26.0,0.0016008259520970856,0.0015309609496952804,-6.986500240180522e-5,6.382874544321326e-5,6.149915444427291e-5,-2.329590998940349e-6
27.0,0.001654821208493116,0.0015769244119607038,-7.789679653241212e-5,6.614101289358445e-5,6.337826785091009e-5,-2.762745042674363e-6
28.0,0.0017089689220836763,0.0016236063748747865,-8.536254720888981e-5,6.79450896955224e-5,6.525875515893052e-5,-2.686334536591877e-6
29.0,0.0017392316751978748,0.0016710237371869593,-6.82079380109155e-5,6.896147099238885e-5,6.714032932202019e-5,-1.8211416703686685e-6
30.0,0.0017774730214924752,0.001719193705459655,-5.8279316032820196e-5,7.048604293768854e-5,6.902270178950742e-5,-1.4633411481811115e-6
31.0,0.0018203643122202396,0.001768133899132418,-5.223041308782166e-5,7.284912945290303e-5,7.090557988212298e-5,-1.9435495707800565e-6
32.0,0.0018719964821010554,0.0018178624126944736,-5.413406940658178e-5,7.488189204663594e-5,7.278866643101113e-5,-2.0932256156248105e-6
33.0,0.001917174630746769,0.001868397840640957,-4.87767901058121e-5,7.737202622395876e-5,7.467165903758465e-5,-2.7003671863741046e-6
34.0,0.001966570761774479,0.0019197594073790797,-4.681135439539921e-5,7.945560788253499e-5,7.655424938138295e-5,-2.9013585011520416e-6
35.0,0.0020191684938873178,0.0019719670220297108,-4.7201471857606994e-5,8.113263702236464e-5,7.843612316007355e-5,-2.6965138622910863e-6
36.0,0.002059442602775651,0.0020250413092049377,-3.440129357071319e-5,8.202197065712277e-5,8.031695993969947e-5,-1.7050107174232984e-6
37.0,0.0020961847866573734,0.0020790037554322184,-1.7181031225155068e-5,8.288589475945926e-5,8.219643284702389e-5,-6.894619124353773e-7
38.0,0.00215073905276668,0.002133876783335268,-1.6862269431411944e-5,8.583340052037198e-5,8.407420932623139e-5,-1.7591911941405923e-6
39.0,0.0022086219676232246,0.0021896837979332832,-1.893816968994138e-5,8.819648703558648e-5,8.594995090903924e-5,-2.246536126547242e-6
40.0,0.002267267168452419,0.0022464493730934556,-2.0817795358963383e-5,9.038170682384936e-5,8.782331473270889e-5,-2.5583920911404645e-6
41.0,0.002324286159206627,0.002304199330745219,-2.0086828461408305e-5,9.19316883015707e-5,8.969395435166289e-5,-2.2377339499078067e-6
42.0,0.002376960119916731,0.0023629608025190693,-1.3999317397661755e-5,9.360871744140034e-5,9.156152032477506e-5,-2.0471971166252846e-6
43.0,0.002422341544821818,0.002422762383632807,4.208388109890916e-7,9.409149855741191e-5,9.342566128886772e-5,-6.658372685441904e-7
44.0,0.002475981067763945,0.0024836343018974534,7.653234133508414e-6,9.444723201131517e-5,9.528602634688527e-5,8.387943355700928e-7
45.0,0.002538717203313027,0.0025456085695190456,6.891366206018823e-6,9.518410845154335e-5,9.714226713157334e-5,1.958158680029996e-6
46.0,0.0026064081976843326,0.0026087190398105657,2.3108421262330557e-6,9.782669982339613e-5,9.899403861955633e-5,1.1673387961602048e-6
47.0,0.0026612927877151214,0.0026730015981612032,1.1708810446081803e-5,0.00010006273867650232,0.00010084100127928005,7.782626027777239e-7
48.0,0.0027411041290515597,0.002738494276089022,-2.6098529625376114e-6,0.00010201927267297025,0.00010268282258729737,6.635499143271183e-7
49.0,0.0028339759700527316,0.0028052376507525603,-2.8738319300171313e-5,0.00010362007321553491,0.00010451918353835439,8.99110322819476e-7
50.0,0.0028932564091924675,0.0028732748718440443,-1.9981537348423214e-5,0.00010450940685029305,0.00010634977906932767,1.840372219034616e-6
51.0,0.002955179439704056,0.0029426517074853573,-1.2527732218698892e-5,0.0001057290644065328,0.0001081743187638212,2.4452543572884e-6
52.0,0.0030166959176968983,0.003013416955627085,-3.27896206981336e-6,0.00010804133185690398,0.00010999253274297189,1.9512008860679076e-6
53.0,0.0030731050796729865,0.003085622419877549,1.2517340204562521e-5,0.00010987081819126359,0.00011180417112318846,1.9333529319248656e-6
54.0,0.00315009596291062,0.0031593234987920046,9.227535881384513e-6,0.00011185276172015318,0.00011360901395012605,1.7562522299728714e-6
55.0,0.0032296277993904203,0.003234579292605731,4.951493215310607e-6,0.00011365683852209114,0.00011540687292118863,1.750034399097491e-6
56.0,0.0033009523568980235,0.0033114526032340273,1.0500246336003771e-5,0.00011548632485645075,0.00011719759138552883,1.7112665290780753e-6
